v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,13360,0x13b4340,12,UnsupportedThrower
code-creation,Builtin,3,13373,0x13b4360,65,ReturnReceiver
code-creation,Builtin,3,13376,0x13b43c0,36,ArrayConstructor
code-creation,Builtin,3,13380,0x13b4400,413,ArrayConstructorImpl
code-creation,Builtin,3,13384,0x13b45a0,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,13388,0x13b46a0,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,13393,0x13b47a0,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,13398,0x13b4880,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,13402,0x13b4960,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,13407,0x13b4a40,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,13412,0x13b4b20,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,13417,0x13b4c00,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,13422,0x13b4ce0,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,13426,0x13b4e20,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,13431,0x13b5040,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,13436,0x13b5140,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,13441,0x13b52e0,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,13445,0x13b53e0,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,13450,0x13b5580,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,13455,0x13b5680,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,13461,0x13b5840,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,13465,0x13b58a0,5,InternalArrayConstructor
code-creation,Builtin,3,13468,0x13b58c0,5,InternalArrayConstructorImpl
code-creation,Builtin,3,13472,0x13b58e0,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,13477,0x13b59a0,12,ArrayConcat
code-creation,Builtin,3,13480,0x13b59c0,150,ArrayIsArray
code-creation,Builtin,3,13484,0x13b5a60,12,ArrayPrototypeFill
code-creation,Builtin,3,13487,0x13b5a80,3916,ArrayFrom
code-creation,Builtin,3,13491,0x13b69e0,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,13495,0x13b6dc0,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,13498,0x13b6e60,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,13502,0x13b6f40,557,ArrayIncludes
code-creation,Builtin,3,13506,0x13b7180,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,13509,0x13b7500,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,13513,0x13b7580,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,13517,0x13b7600,565,ArrayIndexOf
code-creation,Builtin,3,13521,0x13b7840,12,ArrayPop
code-creation,Builtin,3,13525,0x13b7860,708,ArrayPrototypePop
code-creation,Builtin,3,13528,0x13b7b40,12,ArrayPush
code-creation,Builtin,3,13532,0x13b7b60,2742,ArrayPrototypePush
code-creation,Builtin,3,13535,0x13b8620,12,ArrayShift
code-creation,Builtin,3,13539,0x13b8640,12,ArrayUnshift
code-creation,Builtin,3,13544,0x13b8660,1106,CloneFastJSArray
code-creation,Builtin,3,13548,0x13b8ac0,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,13552,0x13b94e0,1146,ExtractFastJSArray
code-creation,Builtin,3,13555,0x13b9960,299,ArrayPrototypeEntries
code-creation,Builtin,3,13559,0x13b9aa0,279,ArrayPrototypeKeys
code-creation,Builtin,3,13563,0x13b9bc0,299,ArrayPrototypeValues
code-creation,Builtin,3,13566,0x13b9d00,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,13570,0x13bade0,3800,FlattenIntoArray
code-creation,Builtin,3,13574,0x13bbcc0,3764,FlatMapIntoArray
